iter	Passed	Remaining
614	18219	1463041
615	18251	1463228
616	18290	1463952
617	18325	1464316
618	18360	1464720
619	18398	1465365
620	18439	1466253
621	18474	1466579
622	18510	1467108
623	18543	1467330
624	18573	1467314
625	18602	1467235
626	18639	1467769
627	18716	1471457
628	18747	1471494
629	18776	1471442
630	18808	1471571
631	18840	1471718
632	18876	1472185
633	18909	1472383
634	18948	1473034
635	18979	1473107
636	19008	1473008
637	19036	1472869
638	19067	1472878
639	19107	1473691
640	19147	1474379
641	19180	1474599
642	19214	1474907
643	19247	1475126
644	19283	1475581
645	19318	1475907
646	19352	1476241
647	19387	1476558
648	19423	1477007
649	19456	1477179
650	19490	1477492
651	19523	1477704
652	19560	1478217
653	19595	1478557
654	19629	1478824
655	19660	1478823
656	19690	1478796
657	19758	1481636
658	19790	1481784
659	19826	1482202
660	19857	1482210
661	19886	1482096
662	19915	1482028
663	19945	1481965
664	19985	1482649
665	20020	1483014
666	20051	1483073
667	20083	1483169
668	20112	1483049
669	20142	1483046
670	20173	1483067
671	20210	1483564
672	20250	1484242
673	20289	1484839
674	20321	1484954
675	20352	1485012
676	20386	1485298
677	20419	1485437
678	20459	1486095
679	20493	1486399
680	20527	1486651
681	20559	1486700
682	20588	1486613
683	20617	1486539
684	20651	1486750
685	20688	1487192
686	20719	1487257
687	20750	1487286
688	20787	1487730
689	20820	1487941
690	20851	1487947
691	20887	1488345
692	20919	1488410
693	20947	1488249
694	20977	1488191
695	21005	1488042
696	21041	1488385
697	21077	1488758
698	21106	1488652
699	21134	1488475
700	21164	1488463
701	21195	1488471
702	21227	1488563
703	21264	1489003
704	21301	1489439
705	21336	1489717
706	21368	1489862
707	21404	1490217
708	21436	1490328
709	21474	1490821
710	21508	1491026
711	21544	1491400
712	21576	1491528
713	21609	1491663
714	21643	1491894
715	21674	1491902
716	21708	1492157
717	21742	1492351
718	21778	1492701
719	21851	1495583
720	21884	1495775
721	21918	1495972
722	21956	1496452
723	21986	1496422
724	22014	1496214
725	22042	1496041
726	22072	1495955
727	22111	1496503
728	22148	1496926
729	22181	1497095
730	22212	1497108
731	22243	1497132
732	22275	1497222
733	22312	1497638
734	22345	1497786
735	22382	1498193
736	22418	1498528
737	22452	1498708
738	22485	1498878
739	22519	1499055
740	22553	1499302
741	22589	1499640
742	22621	1499710
743	22658	1500060
744	22691	1500212
745	22728	1500634
746	22760	1500684
747	22798	1501160
748	22830	1501219
749	22868	1501680
750	22938	1504282
751	22969	1504287
752	22998	1504144
753	23032	1504343
754	23066	1504542
755	23097	1504489
756	23125	1504308
757	23153	1504149
758	23182	1504007
759	23213	1503975
760	23242	1503875
761	23278	1504158
762	23315	1504551
763	23345	1504505
764	23380	1504767
765	23414	1504968
766	23446	1505029
767	23480	1505167
768	23516	1505525
769	23550	1505702
770	23622	1508348
771	23712	1512101
772	23767	1513587
773	23810	1514364
774	23852	1515036
775	23889	1515413
776	23923	1515560
777	23960	1515916
778	24035	1518688
779	24066	1518653
780	24094	1518424
781	24123	1518279
782	24157	1518467
783	24191	1518604
784	24220	1518516
785	24249	1518332
786	24276	1518076
787	24304	1517872
788	24333	1517733
789	24362	1517543
790	24393	1517541
791	24425	1517599
792	24460	1517821
793	24493	1517940
794	24526	1518019
795	24561	1518221
796	24595	1518395
797	24629	1518560
798	24661	1518597
799	24691	1518556
800	24724	1518638
801	24767	1519327
802	24801	1519507
803	24841	1519997
804	24874	1520131
805	24910	1520434
806	24942	1520444
807	24974	1520481
808	25005	1520467
809	25041	1520722
810	25121	1523663
811	25153	1523710
812	25180	1523451
813	25209	1523255
814	25237	1523096
815	25274	1523437
816	25308	1523580
817	25338	1523493
818	25369	1523419
819	25396	1523187
820	25426	1523082
821	25454	1522895
